title,author,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,"excerpt
"
Introduction,"P Cornish, NJ Saunders ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781317916918/chapters/10.4324%2F9781315851846-9,2013,2758,5,9.85145E+17,None,"http://scholar.google.com/scholar?cites=985144701509402229&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=985144701509402229&hl=en&as_sdt=0,5",None,"… Understanding the concep- tualization, experience and commemoration of the maimed and deadof recent wars lies at the heart of what has come to be called Modern Conflict Archaeology(Saunders 2012) – an approach which investigates the varied social lives and cul- tural … 
"
"Metal detecting: Friend or foe of conflict archaeology? Investigation, preservation and destruction on WWII sites in the Netherlands","J Schriek, M Schriek ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/2051819614Z.00000000020,2014,13,2,1.31605E+19,None,"http://scholar.google.com/scholar?cites=13160517638285764820&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13160517638285764820&hl=en&as_sdt=0,5",None,"Abstract In the Netherlands the Archaeology of twentieth-century conflict related sites and battlefields has still not gained the full attention of the academic world. Archaeological research into World War II features is usually only carried out as a result of the personal …
"
Reflexivity and record: re-mapping conflict archaeology,"A Klausmeier, L Purbrick, J Schofield",None,2006,7,0,1.58802E+19,None,"http://scholar.google.com/scholar?cites=15880220549401660039&as_sdt=2005&sciodt=0,5&hl=en",None,None,"None'
"
Re-mapping the field: new approaches in conflict archaeology,"J Schofield, A Klausmeier, L Purbrick ",http://eprints.brighton.ac.uk/4476/1/Re-mapping_the_Field.pdf,2006,32,5,6.88984E+18,http://eprints.brighton.ac.uk/4476/1/Re-mapping_the_Field.pdf,"http://scholar.google.com/scholar?cites=6889840795508019422&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6889840795508019422&hl=en&as_sdt=0,5",None,"In June 2005 English HeritageLs Military and Naval Strategy Group held one of its tri annual meetings in Berlin, at the Berlin Wall Documentation Centre. In ad dition to the usual business meeting, we hosted a small workshop to discuss methodologies, and specifically …
"
Rome versus Carthage: The Second Punic War battlefield of Baecula and the siege of Iliturgi 1,"JPB Ruiz, MM Molinos, CR GaláN, MAL Chica… ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-10,2017,0,0,None,None,None,None,None,"In 208 BC, having taken Carthagonova, Scipio the African directed his campaign towards the upper Guadalquivir valley, in the present-day province of Jaén (Figure 10.1). The fall of Carthagonova was a moral and strategic blow to the Carthaginians in the Punic War, as it …
"
Scorched Earth: studies in the archaeology of conflict,"T Pollard, I Banks ",http://scholar.google.com/https://books.google.com/books?hl=en&lr=&id=wwawCQAAQBAJ&oi=fnd&pg=PR7&dq=%22conflict+archaeology%22&ots=VuuYyzauJY&sig=8XHOziNo7kJXDTDWnYH7QsXxz08,2007,8,2,8.32722E+18,None,"http://scholar.google.com/scholar?cites=8327221455563583450&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8327221455563583450&hl=en&as_sdt=0,5",None,"Page 1. SCORCHED EARTH Page 2. ALSO PUBLISHED AS VOLUME THREE OF THE JOURNALOF CONFLICT ARCHAEOLOGY Devoted to Battlefield and Military Archaeology and OtherSpheres of Conflict Archaeology. Covering all Periods with a Worldwide Scope … 
"
Second World War conflict archaeology in the forests of north-west Europe,"DG Passmore, S Harrison, DC Tunwell ",http://scholar.google.com/https://www.cambridge.org/core/journals/antiquity/article/second-world-war-conflict-archaeology-in-the-forests-of-northwest-europe/92D468108E52657768129CFA82D70CEF,2014,16,10,2.03071E+18,None,"http://scholar.google.com/scholar?cites=2030707514681341041&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2030707514681341041&hl=en&as_sdt=0,5",None,"Concrete fortifications have long served as battle-scarred memorials of the Second World War. The forests of north-west Europe, meanwhile, have concealed a preserved landscape of earthwork field fortifications, military support structures and bomb-and shell-craters that …
"
Second World War conflict archaeology in the forests of north-west Europe,"DG Passmore, S Harrison, DC Tunwell ",http://scholar.google.com/https://www.cambridge.org/core/journals/antiquity/article/second-world-war-conflict-archaeology-in-the-forests-of-northwest-europe/92D468108E52657768129CFA82D70CEF,2014,16,10,2.03071E+18,None,"http://scholar.google.com/scholar?cites=2030707514681341041&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2030707514681341041&hl=en&as_sdt=0,5",None,"Concrete fortifications have long served as battle-scarred memorials of the Second World War. The forests of north-west Europe, meanwhile, have concealed a preserved landscape of earthwork field fortifications, military support structures and bomb-and shell-craters that …
"
The aerial imagery of World War One: a unique source for conflict and landscape archaeology,"B Stichelbaut, J Bourgeois ",http://scholar.google.com/https://www.ingentaconnect.com/content/schweiz/pfg/2009/00002009/00000003/art00006,2009,17,4,1.83507E+19,None,"http://scholar.google.com/scholar?cites=18350745677590527948&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18350745677590527948&hl=en&as_sdt=0,5",None,"… BIRGER STICHELBAUT & JEAN BOURGEOIS, Ghent, Belgium Keywords: Historicalaerial photography, conflict archaeology, World War One army, a role previouslyheld only by the cav- alry and espionage (CARLIER 1921) … 
"
The archaeology of historic battlefields: a history and theoretical development in conflict archaeology,"DD Scott, AP McFeaters ",http://scholar.google.com/https://link.springer.com/article/10.1007/s10814-010-9044-8,2011,47,9,1.47414E+19,None,"http://scholar.google.com/scholar?cites=14741406384946669824&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14741406384946669824&hl=en&as_sdt=0,5",None,"In the last two and a half decades there have been many advances in the technology available to archaeologists. As new technologies have been used to challenge previously held hypotheses and expand the capabilities of current research, they also have assisted …
"
The archaeology of warfare and mass violence in ancient Europe: An introduction,M Fernández,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-1,2017,0,0,None,None,None,None,None,"In the past two decades, conflict archaeology has become firmly established as a relatively new and promising field of research, as reflected in publications, symposia, conference sessions and numerous fieldwork projects (see eg Freeman and Pollard, 2001; Pollard and …
"
The battlefield of Alesia,M ReddÉ ,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-16,2017,0,0,None,None,None,None,None,"The battlefield of Alesia is one of the most famous and best documented of classical Antiquity because of the renown of the victor there, Julius Caesar, the highly detailed account that he himself left of it (BG VII, 68–89), and the extensive excavations made first …
"
"The Bronze Age battlefield in the Tollense Valley, Northeast Germany: Conflict scenario research","T Terberger, S Lorenz, D Jantzen, G Lidke ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-6,2017,0,0,None,None,None,None,None,"The Tollense Valley is situated in northeastern Germany, in the federal state of Mecklenburg-Western Pomerania, c. 120 km north of Berlin, c. 60 km south of the Baltic coast and c. 70 km west of the German-Polish border (Figure 6.2). The river Tollense has its source in Lake …
"
The Germanic-Roman battlefields of Kalkriese and Harzhorn: A methodological comparison,M Meyer ,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-18,2017,0,0,None,None,None,None,None,"The discovery of the Augustan battlefield of Kalkriese near Osnabrück, Lower Saxony, in 1987 was the starting point of scientific battlefield archaeology in Germany. After decades of attempts to identify the site of the battle of Varus in the year AD 9 which is known from …
"
The Neolithic massacre at Talheim: a pivotal find in conflict archaeology,"J Wahl, I Trautmann ",http://scholar.google.com/https://books.google.com/books?hl=en&lr=&id=t1dWDkxSdjQC&oi=fnd&pg=PA77&dq=%22conflict+archaeology%22&ots=o23SGk3npf&sig=5fwOlwQmn-X6AAW9l6Css8lwyeA,2012,36,0,1.36336E+19,None,"http://scholar.google.com/scholar?cites=13633572291747061570&as_sdt=2005&sciodt=0,5&hl=en",None,None,"The discovery in 1983/84 of the skeletal remains of 34 individuals from the Early Neolithic period in Talheim was considered significant among experts in many respects. For the first time in research history, we encountered evidence that questioned the accepted …
"
The potential for conflict archaeology in the Republic of Ireland,D Shiels ,http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1163/157407706778942268,2006,6,3,1.3096E+19,None,"http://scholar.google.com/scholar?cites=13096038648112726533&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13096038648112726533&hl=en&as_sdt=0,5",None,"Ireland has been the scene of countless engagements and battles. Early clashes saw the Irish fight not only each other, but also foreign invaders such as the Vikings and Anglo-Normans. The Early Modern period saw conflict reach a new level of intensity, with much of …
"
Tracing Julius Caesar: The Late Republican military camp at Hermeskeil and its historical context,S Hornung ,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-17,2017,0,0,None,None,None,None,None,"In contrast to the detailed record of the Roman conquest of Gaul given by Julius Caesar himself in his Comments on the Gallic War, archaeological evidence connected to the events described there is still sparse (although see Reddé, this volume; Roymans, this …
"
War and sacrifice: Studies in the archaeology of conflict,"T Pollard, I Banks ",http://scholar.google.com/https://books.google.com/books?hl=en&lr=&id=RgT6tHcgwzQC&oi=fnd&pg=PR5&dq=%22conflict+archaeology%22&ots=PMlIYHbrIY&sig=v-Gtk-0F-0eAY6D-4s5k6Vur1EY,2007,7,3,4.5292E+18,None,"http://scholar.google.com/scholar?cites=4529204769060765415&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4529204769060765415&hl=en&as_sdt=0,5",None,"Page 1. War and Sacri\xef\xac\x81ce Studies in the Archaeology of Con\xef\xac\x82ict Tony Pollard andIain Banks Also published as a volume of Journal of Con\xef\xac\x82ict Archaeology Page 2.\\VAR AND SAC RIFIC E Page 3. ALSO PUBLISHED AS VOLUME\xe2\x80\xa6 '
"
Why a journal of conflict Archaeology and Why now?,"T Pollard, I Banks ",http://scholar.google.com/https://www.tandfonline.com/doi/pdf/10.1163/157407705774929024,2005,15,0,8.2892E+18,None,"http://scholar.google.com/scholar?cites=8289201657517197937&as_sdt=2005&sciodt=0,5&hl=en",None,None,"Over the last five years or so, battlefield archaeology, which is the primary research interest of both founding editors of this journal, has gained much in both popularity and credibility. This development has perhaps been most marked in the UK, which had up until this time …
"
World War One aerial photography: An archaeological perspective,B Stichelbaut ,http://scholar.google.com/https://biblio.ugent.be/publication/669602,2009,17,0,8.8437E+18,None,"http://scholar.google.com/scholar?cites=8843697700112743173&as_sdt=2005&sciodt=0,5&hl=en",None,None,"… of a front sector. The aerial photographs and the developed methodology are testedin a large case study that illustrates the potential applications of this material forboth traditional and conflict archaeology of World War One … 
"
